Id,Sentence,Title,Author
271,"The stars, like all man’s other ventures, were an obvious impracticality, as rash and improbable an ambition as the first venture of man onto Earth’s own great oceans, or into the air, or into space.",Downbelow Station,C. J. Cherryh
272,"Tell me, what is happiness?'.",Use Of Weapons,Iain M. Banks
273,"A way a lone a last a loved a long the riverrun, past Eve and Adam's, from swerve of shore to bend of bay, brings us by a commodius vicus of recirculation back to Howth Castle and Environs.",Finnegans Wake,James Joyce
274,It was a dazzling four-sun afternoon.,Nightfall,Isaac Asimov And Robert Silverberg
275,"There was a boy called Eustace Clarence Scrubb, and he almost deserved it.",The Voyage Of The Dawn Treader,C.S. Lewis
276,"Through the curtained windows of the furnished flat which Mrs. Horace Hignett had rented for her stay inNew York, rays of golden sunlight peeped in like the foremost spies of some advancing army.",The Girl On The Boat,Pg Wodehouse
277,I am a very old man; how old I do not know.,A Princess Of Mars,Edgar Rice Burroughs
278,"Imagine a vast ocean, uncontrollable, swept by storms, wracked with treacherous currents and inhabited by the deadliest predators.",Wild Rider,Gav Thorpe
279,Never trust a god.,Ghost Warrior,Gav Thorpe
280,"A screaming comes across the sky. It has happened before, but there is nothing to compare it to now.",Gravity's Rainbow,Thomas Pynchon
281,"There were five of us — Caruthers and the new recruit and myself, and Mr. Spivens and the verger.",To Say Nothing Of The Dog,Connie Willis
282,"The mowing machine’s whirring sounded cheerfully from the old buffalo wallow south of the claim shanty, where bluestem grass stood thick and tall and Pa was cutting it for hay.",The Long Winter,Laura Ingalls Wilder
283,I am an invisible man.,Invisible Man,Ralph Ellison
284,"The air was still and cold, biting into the young boy like a million needle teeth.",Waypoint,K. Jered Mayer
285,Oghi slowly opened his eyes.,The Hole,Hye-Young Pyun
286,"I heard the mailman approach my office door, half an hour earlier than usual.",Storm Front,Jim Butcher
287,I never used to keep close track of the phases of the moon.,Fool Moon,Jim Butcher
288,"Listen, Paula, I am going to tell you a story so that when you wake up you will not feel so lost.",Paula,Isabel Allende
289,"It was a dark, blustery afternoon in spring, and the city of London was chasing a small mining town across the dried-out bed of the old North Sea.",Mortal Engines,Philip Reeve
290,There are reasons I hate to drive fast.,Grave Peril,Jim Butcher
292,"It was the pivotal teaching of Pluthero Quexos, the most celebrated dramatist of the Second Dominion, that in any fiction, no matter how ambitious its scope or profound its theme, there was only ever room for three players.",Imajica,Clive Barker
293,"At Kel Academy, an instructor had explained to Cheris’s class that the threshold winnower was a weapon of last resort, and not just for its notorious connotations.",Ninefox Gambit,Yoon Ha Lee
294,It rained toads the day the White Council came to town.,Summer Knight,Jim Butcher
295,"In June, the book club was at Zoe's house, which meant that Elizabeth had to carry her heavy ceramic bowl of spinach salad with walnuts and bits of crumbled goat cheese a grand total of half a block.",Modern Lovers,Emma Straub
296,"Freya woke early and lay for a while in the dark, feeling her city shiver and sway beneath her as its powerful engines sent it skimming across the ice.",Predator's Gold,Philip Reeve
297,Alive!.,Dawn,Octavia Butler
298,Some things just aren't meant to go together.,Death Masks,Jim Butcher
299,There were deer all over the road.,The Hike,Drew Magary
300,"On the whole, we're a murderous race.",Dead Beat,Jim Butcher
301,"Once upon a time, there was a boy born with frost in his eyes and frost in his heart.",The Raven And The Reindeer,T. Kingfisher
302,Blood leaves no stain on a Warden's grey cloak.,Proven Guilty,Jim Butcher
303,We were somewhere around Barstow on the edge of the desert when the drugs began to take hold.,Fear And Loathing In Las Vegas: A Savage Journey To The Heart Of The American Dream,Hunter S. Thompson
304,Many things are not as they seem: The worst things in life never are.,White Night,Jim Butcher
305,It was midmorning on a Monday when magic walked into my life wearing a beige Ann Taylor suit and sensible flats.,Borderline,Mishell Baker
306,At first there was nothing.,Infernal Devices,Philip Reeve
307,Winter came early that year; it should have been a tip-off.,Small Favor,Jim Butcher
308,We wanted more.,We The Animals,Justin Torres
309,Vellitt Boe was dreaming of a highway and ten million birds in an empty sky of featureless blue.,The Dream-Quest Of Vellitt Boe,Kij Johnson
310,"HE SEEMED INCAPABLE of creating such chaos, but much of what he saw below could be blamed on him.",The Pelican Brief,John Grisham
311,"I can't go on, his brother said.",A Good Old-Fashioned Future,Bruce Sterling
312,"The summer sun was busy broiling the asphalt from Chicago's streets, the agony in my head had kept me horizontal for half a day, and some idiot was pounding on my apartment door.",Turn Coat,Jim Butcher
313,"She slices through the water, imagining herself a deadly beam of black light.",Lagoon,Nnedi Okorafor
314,"The sun shone, having no alternative, on the nothing new.",Murphy,Samuel Beckett
315,"I answered the phone, and Susan Rodriguez said, ""They've taken our daughter. "".",Changes,Jim Butcher
316,"Lessa woke, cold.",Dragonrider Of Pern,Anne Mccaffrey
317,Life is hard.,Ghost Story,Jim Butcher
318,"It started at one thirty on a cold Tuesday morning in January when Martin Turner, street performer and, in his own words, apprentice gigolo, tripped over a body in front of the West Portico of St. Paul’s at Covent Garden.",Midnight Riot,Ben Aaronovitch
319,"Through the fence, between the curling flower spaces, I could see them hitting.",As I Lay Dying,William Faulkner
320,A hotel room in São Paulo is the third worst place in the world in which to go into cardiac arrest.,Envy Of Angels,Matt Wallace
321,"Mab, the Queen of Air and Darkness, monarch of the Winter Court of the Sidhe, has unique ideas regarding physical therapy.",Cold Days,Jim Butcher
322,Who is John Galt?.,Atlas Shrugged,Any Rand
323,"First of all, it seemed to us that you were very handsome.",Pond,Claire-Louise Bennett
325,There was a ticking time bomb inside my head and the one person I trusted to go in and get it out hadn't shown up or spoken to me for more than a year.,Skin Game,Jim Butcher
326,"For the fifty-first time (according to his laptop), Oscar studied the riot video from Worcester.",Distraction,Bruce Sterling
327,"When Patricia was six years old, she found a wounded bird.",All The Birds In The Sky,Charlie Jane Anders
328,Cranes keep landing as night falls.,The Echo Maker,Richard Powers
329,"On Dreamer’s Plain, the gathering of delegations from the Twelve Crowns of Raine for the coronation of the Queen of Raine looked like an invading army.",Alphabet Of Thorn,Patricia A. Mckillip
330,Miss Brooke had that kind of beauty which seems to be thrown into relief by poor dress.,Middlemarch,George Eliot
331,God wasn’t answering tonight.,Three Parts Dead,Max Gladstone
332,That morning they were making paper boys.,Fever Crumb,Philip Reeve
333,"It is almost pleasant, at first, to be Falling.",House Of Shattered Wings,Aliette De Bodard
334,It was one of those super-duper-cold Saturdays.,The Watsons Go To Birmingham,Christopher Paul Curtis
335,Something was upsetting the angels.,A Web Of Air,Philip Reeve
336,When he woke in the wood in the dark and the cold of the night he'd reach out to touch the child sleeping beside him.,The Road,Cormac Mccarthy
337,"The meeting of the Royal Society of Unnatural Philosophers was well under way, and the entrance hall was almost empty.",Sorcerer To The Crown,Zen Cho
338,He forded the river as the daylight died and blundered into thick undergrowth between the birches on the far bank.,Scrivener's Moon,Philip Reeve
339,Trade season came around again.,The Traitor Baru Cormorant,Seth Dickinson
340,My mother selected her wings as early morning light reached through our balcony shutters.,Updraft,Fran Wilde
341,I first met Dean not long after my wife and I split up.,On The Road,Jack Keroac
342,Lisette Toutournier sighed.,Everfair,Nisi Shawl
343,"Many years later, as he faced the firing squad, Colonel Aureliano Buendía was to remember that distant afternoon when his father took him to discover ice.",One Hundred Years Of Solitude,Gabriel García Márquez
344,The girls were never present for the entrance interviews.,Every Heart A Doorway,Seanan Mcguire
345,"I believe the question, then, says Vasily Yaroslav, ""is one of intent. "".",City Of Stairs,Robert Jackson Bennett
347,Kell wore a very peculiar coat.,A Darker Shade Of Magic,V. E. Schwab
348,"Dear You, The body you are wearing used to be mine.",The Rook,Daniel O'Malley
349,For a long time I would go to bed early.,Swann's Way,Marcel Proust
350,"In some ways they were lucky, the latrine emptiers in South Africa is the largest shantytown.",The Girl Who Saved The King Of Sweden,Jonas Jonasson
351,"Whether I shall turn out to be the hero of my own life, or whether that station will be held by anybody else, these pages must show.",David Copperfield,Charles Dickens
352,"Once upon a time, more than a hundred years ago, a little girl named Sara lived on the space station AF54G91-Fortitude, near a planet that is now called Abundance.",On The Spokes Of Sector H,Miriam Roberts
353,People who move to New York always make the same mistake.,The Ballad Of Black Tom,Victor Lavalle
354,"I shut the door of the old Victorian behind me, and the stuffy atmosphere closed in: overheated, dry, and redolent of mothballs.",Winter Tide,Ruthanna Emrys
355,One summer afternoon Mrs.,The Crying Of Lot 49,Thomas Pynchon
356,"Somewhere in la Mancha, in a place whose name I do not care to remember, a gentleman lived not long ago, one of those who has a lance and ancient shield on a shelf and keeps a skinny nag and a greyhound for racing.",Don Quixote,Miguel De Cervantes
357,What's surprised me most about seeing my sister dead is the lingering smirk on her face.,I Am Not Your Perfect Mexican Daughter,Erica L. Sánchez
358,There was no hope for him this time; it was the third stroke.,Dubliners,James Joyce
359,"I stood on the docks, looking out at the ship that would take me away from everything I’d ever known.",Rainbow Islands,Devin Harnois
360,"You ain’t gonna like what I have to tell you, but I’m gonna tell you anyway.",Karen Memory,Elizabeth Bear
